Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;3;19200;;;;;
;;;4;38400;;;;;
;;;5;57600;;;;;
;;;6;115200;;;;;
;;;7;230400;;;;;
;;;8;460800;;;;;
;;;9;921600;;;;;
;1;number;;Тайм-аут приема байта [0…255];;;;;
15;;;;Чтение параметров обмена ;;;;Чтение параметров обмена ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер порта [0…255];1;number;;Код скорости обмена [0…9];
;;;;;;;0;2400;
;;;;;;;1;4800;
;;;;;;;2;9600;
;;;;;;;3;19200;
;;;;;;;4;38400;
;;;;;;;5;57600;
;;;;;;;6;115200;
;;;;;;;7;230400;
;;;;;;;8;460800;
;;;;;;;9;921600;
;;;;;1;number;;Тайм-аут приема байта [0…255];
16;;;;Технологическое обнуление ;;;;Технологическое обнуление ;
;;;;;1;error#;;код ошибки;
17;;;;Печать стандартной строки (шрифт 1) ;;;;Печать стандартной строки (шрифт 1) ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;bitfield;;Флаг;1;number;;порядковый номер оператора;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип-чек;;;;;
;;;;Бит 4 – ;;;;;
;;;;Бит 5 – ;;;;;
;;;;Бит 6 – перенос строк;;;;;
;;;;Бит 7 – отложенная печать;;;;;
;?;string;;Печатаемые символы;;;;;
18;;;;Печать заголовка документа ;;;;Печать заголовка документа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;30;string;;Наименование документа;1;number;;порядковый номер оператора;
;2;number;;Номер документа ;2;number;;Сквозной номер документа ;
19;;;;Тестовый прогон ;;;;Тестовый прогон ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Период вывода в минутах ;1;number;;порядковый номер оператора;
1a;;;;Запрос денежного регистра ;;;;Запрос денежного регистра ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;?;number;;Номер [Ф-]регистра [0… 255] или номер К-регистра [0…65535];1;number;;порядковый номер оператора;
;;;;;6;data;;Содержимое регистра ;
1b;;;;Запрос операционного регистра ;;;;Запрос операционного регистра ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер регистра [0… 255];1;number;;порядковый номер оператора;
;;;;;2;data;;Содержимое регистра ;
1e;;;;Запись таблицы ;;;;Запись таблицы ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Таблица ;;;;;
;2;number;;Ряд ;;;;;
;1;number;;Поле ;;;;;
;?;data;;Значение ;;;;;
1f;;;;Чтение таблицы ;;;;Чтение таблицы ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Таблица ;?;data;;Значение ;
;2;number;;Ряд ;;;;;
;1;number;;Поле ;;;;;
21;;;;Программирование времени ;;;;Программирование времени ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Время ЧЧ;;;;;
;1;number;;Время ММ;;;;;
;1;number;;Время СС ;;;;;
22;;;;Программирование даты ;;;;Программирование даты ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Дата ДД;;;;;
;1;number;;Дата ММ;;;;;
;1;number;;Дата ГГ;;;;;
23;;;;Подтверждение программирования даты ;;;;Подтверждение программирования даты ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Дата ДД;;;;;
;1;number;;Дата ММ;;;;;
;1;number;;Дата ГГ;;;;;
24;;;;Инициализация таблиц начальными значениями ;;;;Инициализация таблиц начальными значениями ;
;4;number;;пароль оператора;1;error#;;код ошибки;
25;;;;Отрезка чека ;;;;Отрезка чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип отрезки ;1;number;;порядковый номер оператора;
;;;0;полная;;;;;
;;;1;неполная;;;;;
26;;;;Прочитать параметры шрифта ;;;;Прочитать параметры шрифта ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер шрифта ;2;number;;Ширина области печати в точках ;
;;;;;1;number;;Ширина символа с учетом межсимвольного интервала в точках ;
;;;;;1;number;;Высота символа с учетом межстрочного интервала в точках ;
;;;;;1;number;;Количество шрифтов в ККТ ;
27;;;;Общее гашение ;;;;Общее гашение ;
;4;number;;пароль оператора;1;error#;;код ошибки;
28;;;;Открыть денежный ящик ;;;;Открыть денежный ящик ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер денежного ящика ;1;number;;порядковый номер оператора;
;;;0;;;;;;
;;;1;;;;;;
29;;;;Протяжка ;;;;Протяжка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;bitfield;;Флаг;1;number;;порядковый номер оператора;
;;;;Бит 0 – контрольная лента ;;;;;
;;;;Бит 1 – чековая лента ;;;;;
;;;;Бит 2 – подкладной документ ;;;;;
;;;;Бит 3;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7;;;;;
;1;number;;Количество строк ;;;;;
2b;;;;Прерывание тестового прогона ;;;;Прерывание тестового прогона ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
2c;;;;Снятие показаний операционных регистров ;;;;Снятие показаний операционных регистров ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
2d;;;;Запрос структуры таблицы ;;;;Запрос структуры таблицы ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер таблицы ;40;string;;Название таблицы ;
;;;;;2;number;;Количество рядов ;
;;;;;1;number;;Количество полей ;
2e;;;;Запрос структуры поля ;;;;Запрос структуры поля ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер таблицы ;40;string;;Название поля ;
;1;number;;Номер поля;1;number;;Тип поля ;
;;;;;;;0;BIN;
;;;;;;;1;CHAR;
;;;;;1;number;;Количество байт ;
;;;;;%3;data;;Минимальное значение поля – для полей типа BIN;
;;;;;%3;data;;Максимальное значение поля – для полей типа BIN ;
2f;;;;Печать строки данным шрифтом ;;;;Печать строки данным шрифтом ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;bitfield;;Флаг;1;number;;порядковый номер оператора;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип-чек;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6 – перенос строк;;;;;
;;;;Бит 7 – отложенная печать;;;;;
;1;number;;Номер шрифта ;;;;;
;?;string;;Печатаемые символы;;;;;
40;;;;Суточный отчет без гашения ;;;;Суточный отчет без гашения ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
41;;;;Суточный отчет с гашением ;;;;Суточный отчет с гашением ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
42;;;;Отчёт по секциям ;;;;Отчёт по секциям ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
43;;;;Отчёт по налогам ;;;;Отчёт по налогам ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
44;;;;Отчёт по кассирам ;;;;Отчёт по кассирам ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
50;;;;Внесение ;;;;Внесение ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;;;;;2;number;;Сквозной номер документа ;
51;;;;Выплата ;;;;Выплата ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;;;;;2;number;;Сквозной номер документа ;
52;;;;Печать клише ;;;;Печать клише ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
53;;;;Конец Документа ;;;;Конец Документа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Параметр ;1;number;;порядковый номер оператора;
;;;0;без рекламного текста ;;;;;
;;;1;с рекламным тестом ;;;;;
54;;;;Печать рекламного текста ;;;;Печать рекламного текста ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
60;;;;Ввод заводского номера ;;;;Ввод заводского номера ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;4;number;;Заводской номер ;;;;;
80;;;;Продажа ;;;;Продажа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
81;;;;Покупка ;;;;Покупка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
82;;;;Возврат продажи ;;;;Возврат продажи ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
83;;;;Возврат покупки ;;;;Возврат покупки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
84;;;;Сторно ;;;;Сторно ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
85;;;;Закрытие чека ;;;;Закрытие чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма наличных ;1;number;;порядковый номер оператора;
;5;money;;Сумма типа оплаты 2;5;money;;Сдача ;
;5;money;;Сумма типа оплаты 3;?;string;;Веб-ссылка ;
;5;money;;Сумма типа оплаты 4;;;;;
;2;moneysigned;;Скидка/Надбавка;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
86;;;;Скидка ;;;;Скидка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
87;;;;Надбавка ;;;;Надбавка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
88;;;;Аннулирование чека ;;;;Аннулирование чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
89;;;;Подытог чека ;;;;Подытог чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;5;money;;Подытог чека ;
8a;;;;Сторно скидки ;;;;Сторно скидки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
8b;;;;Сторно надбавки ;;;;Сторно надбавки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
8c;;;;Печать копии чека ;;;;Печать копии чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
8d;;;;Открыть чек ;;;;Открыть чек ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип документа ;1;number;;порядковый номер оператора;
;;;0;Продажа ;;;;;
;;;1;покупка ;;;;;
;;;2;Возврат продажи ;;;;;
;;;3;Возврат покупки ;;;;;
8e;;;;Закрытие чека расширенное ;;;;Закрытие чека расширенное ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма наличных ;1;number;;порядковый номер оператора;
;5;money;;Сумма типа оплаты 2;5;money;;Сдача ;
;5;money;;Сумма типа оплаты 3;;;;;
;5;money;;Сумма типа оплаты 4;;;;;
;5;money;;Сумма типа оплаты 5;;;;;
;5;money;;Сумма типа оплаты 6;;;;;
;5;money;;Сумма типа оплаты 7;;;;;
;5;money;;Сумма типа оплаты 8;;;;;
;5;money;;Сумма типа оплаты 9;;;;;
;5;money;;Сумма типа оплаты 10;;;;;
;5;money;;Сумма типа оплаты 11;;;;;
;5;money;;Сумма типа оплаты 12;;;;;
;5;money;;Сумма типа оплаты 13;;;;;
;5;money;;Сумма типа оплаты 14;;;;;
;5;money;;Сумма типа оплаты 15;;;;;
;5;money;;Сумма типа оплаты 16;;;;;
